B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	E2	E3	E4	E5	E6	E7	E8	F2	F3	F4	F5	F6	F7	F8	G2	G3	G4	G5	G6	G7	G8	H2	H3	H4	H5	H6	H7	H8	I2	I3	I4	I5	I6	I7	I8	J2	J3	J4	J5	J6	J7	J8
Fake Republicans corrupted caused all this...	Hahahah, you YTY are deluded. Biased fools,	HE fired Comey because Comey and Loretta Lynch gave Hillary a free pass after Bill Clinton had a private meeting with Loretta on her plane! (nothing suspicious there) The evidence and the destruction of evidence was enough to put her in jail and you failed! You obstructed justice! Too many leakers and you got caught leaking to the news papers. Investigations are due. so what if he lied or dumbed down the reasons you where fired. He couldnt just come out and accuse you of being a leaker. He had to let you hang yourself. You think Trump is a dummy? lmao. He made you look like the fool. I say open up Hillarys case as soon as possible! She needs to pay for what she did. Obama also obstructed justice. He is working for foreign countries preparing to take over America like they have England. lmao. Shipped in your enemies from the middle east and placed them in your neighborhoods! and I always thought English where smart people. Had me fooled! lol	See, unlike Trump, when I hear Comey speak.. I dont feel this gnawing in the back of my head that Im being fed a load of bullshit.	Did....did I say mayor of New Jersey? Jesus...Im more loopy that John McCain at a Senate Intel Hearing. brb going to sleep til my brain starts working again.	Good clip, thanks.	DIDNT WRESTLE FOR HILLARY BUT NOT FOR TRUMP	HOORAY FOR TRUMP !!! Will be the greatest president the USA ever had. Easy to do when compared to the BOOB who served before him.	this jerk off is the WORST president America has ever had.... hes firing everyone that wont kiss his butt.... also I believe hell start WW3	James Comey admitted to using his friend , a Colombia University Professor , to leak Classified documents to Fake News outlets like CNN New York Times , Washington Post , CBS ABC NBC... That is why the American Traitor who is helping sold out washington polititions , sell Ameeicas people and sovereignty to the higheat global bidders. SHOULD TREASON CHARGES BE PENDING....	Criminal Trump= drug money laundering, public corruption and stupidity.	Sup you Beautiful Bastards. Thanks for checking out the show. I wanna know what you think about all this ComeyTrumpRussia stuff. Its a lot and I definitely want to go more into it, but lets start the discussion here, together!	Go Trump.... God and We the People are with You..	Another waste of time. What we got after 8 years of obummercare.	Nice bit of lovely liberal propaganda.	Listening to the election results on the night {I am Labour } as they came in, and watching Theresa Mays majority shrink further and further down was the most fun I have ever had with my clothes on	To say May lost seats is misleading because she got 42.4 percent of vote, more than Cameron 36.9 inn 2015 and Thatcher 1987. Messed up manifesto and campaign, but then she could trying talking total nonsense to everybody and they might vote for her (see J Corbyn).	The Willy Wonka of British Politics.. Free Candy for all!	MEGYN KELLYS A TRANNY.	Lol glad Ms May loss a lot of sits	vote corbyn	Reported by several news sources of course except Fox, the reason for Trump withdrawing is purely because of his EGO. He didnt like Macrons treatment and handshake. This has nothing to do with jobs, his base or the planet. Coal is not going to create jobs but new sources of energy will not only create jobs but offer training in skills that help with the future. Coal will keep the folks who voted for him , behind the rest of the world. The reason these people in the first place have no jobs is partly the area where they reside and the innovation behind energy has evolved. They need to be retrained so they can be competitive. Trump only cares about Trump and as Mueller spreads his investigation, it will come to light , that some of those in the Republican Party, who are unethically and blindly putting Party over Country , are paid by TrumpRussia. The Republicans care about their wallet not about the average American. Because of those who voted for him and support him, I hope the pass the tax cuts and health bill. It will hit his base the most, so I hope it passes. They will then get what they voted for.	This is one of the few things Trump did right.	This is one of the few things Trump did right.	href=\https:www.youtube.comwatch?v=djATp3AoUxI&;t=7m25s\7:25\u003ca" Cost to the economy close to 3 trillions dollars lost GDP and 6 12 MILLION loss in industrial jobs,	I apologize if I trigger anyone with my hands movements. I also apologize if you are triggered by the obvious sarcasm of the previous statement. Im triggered that youre triggered. Please apologize. Thank you.	fuck this moustached motherfucker!	href=\http:www.blogtalkradio.comdrpatholliday20170602satan-has-a-markdr-pat-hollidaydr-sabrina-sessionsmarshall-perot\http:www.blogtalkradio.comdrpatholliday20170602satan-has-a-markdr-pat-hollidaydr-sabrina-sessionsmarshall-perot\u003ca starts @ href=\http:www.youtube.comwatch?v=OZztxpw3vsA&;t=14m50s\14:50\u003ca	Poor 8 year old and her own quote from before the concert " I cant wait to see my first concert ever maybe I can go to another afterwards "	the fake bomb that caused the MU Bournemouth HAD NOTHING TO DO WITH THE IRA. they just made that up to make the Muslims better by comparison	I teared up a bit _Ù÷¢_Ù÷__Ù÷¤_Ù÷_	Evil losers. Thats what they are losers. What president talks like that??	Today is not the show you want to watch if you dont want to get angry...Thank you to the good people out there.	Evil losers in life Are you fucking kidding me?	There will definitely be a WW3 around the years 2060-2070 when the Muslim population spikes because the refugee men go over to the middle east get married to multiple come back and breed like rabbits. Not to forget all the problems they bring with them. Whites will be a minority, we will have to retaliate; we will have to flee to places like America or Australia or be forced to divide land for the Muslims the same way Pakistan was created from India. Its happening in all European countries, the fall is inevitable.	I am a Brit. Churchill would be ashamed of our cowardly craven government who have done next to nothing to fight extremism. Boris knows better and he knows his comments here are hollow and he should be speaking like his hero Churchill. Shameful.	Imagine if we just ignored the Nazis the same way we just ignore Islamic terror. Imagine if our strategy to defeat the Nazis was the same as our strategy to defeat Islamic terror: Love trumps hate hahahahaha terrorists BTFO	null	CNN=Fake NewsCNN is now as believable as Mad Magazine	This will be a....very interesting comment section today. Love you, good luck, and Ill see you on the other side. &lt;3	Fucking kill the rest.	one Spanish lawyer who worked 8n London faught with the terrorest to save a woman and another but was surrounded and knifed. He will be decorated by the Spanish gov. but this wont bring him back for his parents, who had to wait more than 5 days along with a lawyer to even touch their dead son. The British said it would take a month and even then, the mom could see her dead son behind a glass. Those stupid British laws made suffering and murders of innocent people. Macron, Merkel,Obama,Clintons,Soros.....Go to Bloody Hell and burn horribley forever. Letting these assassins into a civilized country. Now, Spain is also on alert for terrorest groups. Throw those migrants out!! No more Islamic groups.	Is it Joe..? If you quit rattling on The President actually stopped and said ok but you kept antagonizing...this is insane. Look Everyone wants to call him hitler and putins puppet but truth is hes americas dad. When you were growing up you want to do what you think is right but dad steps in and does whats good for you even if you dont want to admit it. After 8 years of eating McDonalds and candy (figuratively speaking) its time to eat our vegetables boys and girls. The man just wants the country safe there have been bans before, read your history books. Its not permanent, so relax. If you are American and really feel you are wronged and this is awful, then leave. Go find another country that will allow you the freedoms that you have been spoiled with here. At the end of the day if you cant unite with your nation, then what are you doing here? You dont always have to see eye to eye but my God, at least respect the journey.	Basic rundown of the comments section: anti-muslim hate speech, christian propaganda, people saying slavery was okay and that black people are inferior, people with putins dick in their mouth, and generally braindead trump supporters Verdict: SAVE YOURSELF	The BBC should report the facts. Donald Trumps family have gone to JESUIT Georgetown University. And Donald Trump has filled leading positions with Jews, some from Goldman Sachs.åÊ A Jew commented they have never had such a Jewish cabinet has the one from Donald Trump. Even Obama had a Roman Catholic at the helm. David Cameron had a Jesuit advisor. Loyola was first going to destroy Islam when he formed the Jesuit order but he soon realised he could not fight them. It was then he went after Protestantism.	TRUMP CREATED ISIS! HE IS THE FOUNDER OF ISIS. TRUMP TOWER HOLDS Abu Bakr al-Baghdadi	All of this and more happened over the weekend. What are your thoughts on everything going on in the United States right now?	keep up the good work president trump!!! he will make america great again one move at a time.	If its WW2...u will want a ban on japs &; gerries	Oh wow, theyre quoting the Bible on MSNBC. Theyre still alive. Indeed God is a merciful God.	Rofl!! That pic makes me _Ù÷â_Ù÷Û_Ù÷â_Ù÷Û_Ù÷â	no nlp handshake on the pope? very dissapointing	Man the media makes humans look like their living a huge lie.	null	pope showing up in a Ford Focus? Must have spent all his money on that golden palace.	Islam is an evil cult invented by Rome 2 destroy everyone, especially Christians &; Jews. They are the weapon that will bring about complete chaos that is WW3 (planned over 200yrs ago just like the 1st 2 world wars - Albert Pike &;Co), this will begin the COMPLETE destruction of ALL religion (including Islam bc theyre just puppets wout realizing it) which will bring about the NWO &; their Luciferian doctrine will be the ONE world religion. Then the stage is fully set 4 the Antichrist 2 take its throne 2 rule the world, but only 4 a short time where he will then be defeated 4ever &; thrown into the lake of fire along with his demons &; followers during Christs second coming - Judgement Day.	Steve Scalise was shot because he heads the effort to expose child trafficking by the deep state. That is the reason the President went to see him in the hospital-status update.	Frankly I am not surprised this happen. You got a corrupt bought off government letting the corporations run wild. Both parties in the tank oppressing and marginalizing a real opposition to this corporate state. When you do not address real problems like economy, healthcare, or general welfare of the people, you get this. This isnt end but worse as the corporations grind the working man down more and the government go along it. Until we Americans as whole get our head out of our asses and remove these corrupt parties we will continue to have this happen in the future. Oh side comment. You commenters are biggest bunch of retards. You dumbasses think its right vs left. Its not both parties are in pockets of the corporations and dont give a rats ass about their base. Republicans and Democrats are the problem. We need to replace them with non corrupt parties.	the man from illinois was a flop at everything he didhe couldnt shoot straight, work, or pound a lidfailure marked his days, his years across the landthe cops shot him and he fell dead in the sandthe people voted for trump they voted for lifethe idiot gunman wanted only to spread strifewe can curse his name as long as we have breathforget him forever from the second of his death.	Why hasnt any news outlet that I am aware of at least, point out that the first shot fired against the shooter came from a passer yesterday? He was carrying with a License to Carry Concealed !! PLEASE! I wouldnt for a sec MINIMIZE what everyone else on the Security Details or Police did, IN THE SLIGHTEST! Thank God they were there!! Dont own a SINGLE gun, myself, but? We need to retain THAT RIGHT! And so? We Pray for ALL INVOLVED!	Im going to bleach my brain. brb &lt;3	Trump, was inciting violence, when he ran for the presidency. Now, an Alabama Congressman, want to present a bill, that will permit congressman, to be able, to carry gun. If, that bill was to be presented, it should not become law. Gabriel, the congress woman, was shot and the republicans, in congress was not for, the Obama Administration, to go forward, with the law of making it harder for criminals and those that are mentally ill, to be able to purchase guns. The people, that represent Congress, should not be taken the law into their own hands by carrying a guy. There are police powers. Can you image, congress becoming the wild wild west? Any, of those congress people, may have a tantrum one day and shoot everyone in chamber. If, they are allow, to carrying guns at work or in their possession, while traveling about the government business.	NYT is nothing more than a mosque, filled with puss filled demon possessed musloid wanna bees...
What people seem to miss about Comeys interaction with Trump is that the conversation he was having (or listening to) with Trump seemed absurd to him. When you know you are talking with a crazy person, you know there is no use in trying to correct the situation. That person will not listen to you. Its like talking with a small child who only sees the world one tiny way. You cant talk logic to a small child. I completely see why Comey just let the conversation go with "honest loyalty" so he could escape. It must have felt horrible, especially (as Joe Scarborough pointed out on "Morning Joe") when the conversation opens with "You like your job?". Thats actually a threat!	Bernie Sanders is under invesstigation for attempting to cover up his wifes fraudulent activities .	Lol comey you love Hillary and you put people to prison for less than she did. Go into your corner and stay there. Dog	Tired of that shit	Personally, I think LEOs are by and large good people. They deal with the worst of society and that can cause an effect on certain personalities. The skint few like these shown here, give the vast majority a bad name. The problem is IMO is the good officers stay quiet when the (few) bad ones do wrong things. If law enforcement is going to improve the perception, then the vast majority of good officers, need to expose the few "bad" officers. (this is much like the vast majority of good Muslims that need to expose the radicals) What LEO leadership needs to be aware of is the managing of perception. A good example is the police departments in Salt Lake City Utah where retraining has occurred, and there havent been any officer involved killings since 2015. They worked on deescalation techniques among other things.	...comey comey comey comey comey chameleon	cloud. fbi would not admit that trump was not underinvestigation. YET HILLARY WAS TREATED DIFF. LORETTA LYNCH MADE HIM FELL UNCOMFORTABLE SO WAS COMEY USE TO THE ADMINSTRATION BEING DIRTY THAT HE JUST WAS USE TO IT HE AWSUME TRUMP IS DIRTY. BUT YET GO AFTER HIM FOR BEING CLEAN, YET NOT GO AFTER CLINTON WHO HAD BROKE LITERALLY ALL LAWS	Do not let TRUM impose an FBI director at your convenience that is corruption	Donald Trump is the President of the United States of America!!!	BBC....Bullshit, Broadcasting Crooks!! Obsolete!!	Reptilians worship Gold.	Agreed on PIXAR and others, My son is now 20 and we still watch many of these movies every chance we get.	Did he say President Clinton?	I would respect clarke more if he would pin more buttons on himself. Who cares what kind! He seems so MUCH more important with lots of sparkle. After all, only really really really important people have lots of lapel pins	We are rejecting fake populism. Internalising and inward looking policies are also being rejected and rightly so. Its harmful and offers no solution to the problems to the workibg classes.	Theresa May, pulled a hillary	When Diane Abbott receives 110,000 from the BBC ... When you switch on BBC Radio and get the Ed Miliband Show ... When Andrew Marr gives Labour a mouthpiece every Sunday ... When ex-Labour MP James Purnell becomes BBC Radio Chief ... When the Fabian BBC shows McDonnell &; Jezzas fawning Glastonbury crowd ... ... You know its time to stop paying your 147 TV Licence Tax.	In my view, the tories have won the battle but lost the war	The problem is certain things are true but you can never prove those things. So stick to evidence you can argue.	No option is a good option but I certainly wouldnt vote for May again! She single handily turned a great country into a speechless shithole filled w refugees and terrorism. I dont expect that to be the case always. There are very Loyal brits ready at anytime to show their love for their country good people who dont deserve this and one day well see them show their displeasure of being silenced and overran by animals	sorry infowars stick to American political issues because the amount of crap flowing out of your mouths about British politics is actually astonishing .... the amount young people who decided to vote for Corbyn and reject the conservative party was phenomenal and proved that old media in the country has no power over political issues anymore and looking at Nigel Farage for answers on political issues is utterly pointless as he is possibly the most hatted political figure in the uk. Yes he achieved his partys aim by getting a brexit but he did so through PLASTERING propaganda to the side of his busses parading around the uk that were lies of promising money to the NHS that we spend on the EU in our country which he later admitted would not happen. Then after he won a brexit he fled to America never to be seen again. I should imagine if he does return he wont get a very warm welcome from most of the uk...	california is the filthiest state around	GET CHiNa to join the agreement who is 90% of the pollution in the world where people have to wear masks to breath in the cities so why when our 5 % matters and spend billions of dollars for what you dumb fucks	GET CHiNa to join the agreement who is 90% of the pollution in the world where people have to wear masks to breath in the cities so why when our 5 % matters and spend billions of dollars for what you dumb fucks	href=\http:www.youtube.comwatch?v=djATp3AoUxI&;t=6m58s\6:58\u003ca cites specific industries and gives numbers...	those college students are so rude holy shit	Right you are, Mr Bolton --- "It is about more international governance and less national sovereignty"	Bing Bing Bong Bong Bing Bing Bing!	There was a bomb in manchester so evry one died have a good life in heven :( FIFTEE TOW INDRES	I swear that they didnt do anything!! , please dont blame muslims!!	fat ass	Trump will blow up some kids of his own.	The first amendment protects you from the government silencing your speech, it does not give you the right to say whatever you want without consequences. He didnt beat the shit out of her, he didnt even punch her, he slapped her. I say thats 100% appropriate and ok in this situation.	what... "its a attack against the US because it happened in England" Fuck off you American twat and go kill a black person for no reason you small dick prick cunt	Last week my church held the funeral of an eighteen year-old girl killed in Manchester . When will we realise that there is a war on the West and that we need to do something to stop Islamic terror ?	FIRST THERE WAS DODGY DAVE CAMERON !! NOW WE HAVE Boris Johnson.GIVING UP HIS U.S. CITIZENSHIP SO HE DOESNT HAVE TO PAY TAXES ON THE SALE OF HIS HOUSE !! ARE ALL BRITISH MPs TAX DODGERS ???	I would love to see these guys defend a "MUSLIM" cut throating their staff.	null	CNN,BBC = North Korea and Saudi Arabia.	Funny we have to stand up after a terrible attack, How obout doing some work to prevent terrorist attacks. Wait i guess its more important to not be racist. I guess dead people are not important untill enough die.	If this happened in America, this Muslim cultist wouldve been shot by citizens.	lol so true! America is more enraged at "Donalds tweets than the terrorists actions in London." The left really wanna destroy western civilization before making a new one.	The 911 ring leaders were here in America sponsored by the CIA. That is a FACT not an "alternate fact". They also came from Saudi Arabia which does not have a Muslim ban! Sad Congress has let this happen. Our democracy needs to be reformed. The people need to vote for these actions. The system we have now is people voting for people to work in our interest. Which they dont they spend money on themselves the 1%.	Consider this: what if a president who was very concerned about the threat of child molestation publicly stated that we needed to stop Catholics from immigrating until we figured out what the hell was going on with molestation by Catholic priests. But, realizing he couldnt just ban Catholics, he issued an executive order halting immigration from Ireland and Italy. Then he also went on Pat Robertsons tv show and said he wanted to make it easier for Protestants to immigrate. Would American Catholics and federal judges be wrong if they pointed out that the presidents executive order was discriminatory and a violation of the establishment clause of the First Amendment? Would it be a defense of that immigration ban to say "hey its not a Catholic ban- after all Catholics can still come into this country from England. whats the big deal? "	when is an advert not an advert? when its shown on the BBC	Regarding Trumps temporary travel ban, did you know that Israelis are banned from traveling to 16 Muslim states? (Algeria, Bangladesh, Brunei, Iran, Iraq, Kuwait, Lebanon, Libya, Malaysia, Oman, Pakistan, Saudi Arabia, Sudan, Syria, United Arab Emirates &; Yemen).	Muslims are horrible people, Muhammad was the worlds most evil man. i served in Iraq from 2005 to 2006 this liberal kid has no clue what he is saying.	This is an ancient war. These people have been invading Western Civilization for thousands of years. They leave the lands they conquer in total ruin. The once great Greek-speaking, Christian, Byzantine Empire is now an Islamic wasteland. In the eyes of what is both deserved and necessary, this travel-ban is a trifle.	Judge Ferguson sounds like he loves cheesey pizza. This should be an alertevent of significance because these laws that Trump TRIED to get in place would have been legal walls to stop invaders from entering the country. Just like in war - there is collateral damage - sure, some innocent people will be severely inconvenienced however thats why a vetting process exists so that the good people can be separated from the bad people. The corrupt media wormtongue will tell you that the vetting is to prove people guilty but it is there also to prove people innocent if possible. Trolls, orcs and goblins will be getting through the holes in the wall so people better be prepared for some Shariah Law because that is the flag of the army that is invading. Hopefully people now understand why Obama had those (20,000?) guillotines installed with the FEMA camps. The FEMA camps is where the non-Islam people will be stored - like concentration camps. Obama told you those camps were for his Ebola warning? Well, guess what, Cannabis has a compound called Cannabidiol that prevents RNA viruses like Ebola and HIV from altering your DNA. First time hearing that? Research the guy that Isolated THC - Professor Raphael Mechoulam. So if the cure for Ebola existed, then what was the real reason they created the FEMA camps with the black coffins? (logistics confirmed they were coffins). As for the guillotines? Well, its an everyday tool in Islam. You get to choose to be a cowering minion or death - if they catch you. And whats funny is that these Cucks that dont know anything about Islam will be cheering supporters of love and liberty as they get positioned into the guillotines - only to find out later that its not a place they like to live anymore. Prophecy says that the US constitution will hang by a thread and mankindmen from the mountains save the US. The mountains are also an ideal place to seek shelter so perhaps it means the true patriots that took shelter are the ones to fix the place when it goes to $hi+. Russia also provides hope for the world as they fight back against the parasitic invasion of the retarded chickens that peck everything to death that doesnt conform to becoming a chicken. Expect weather to be crazy, not because of the sun but because every wealthy country owns a HAARP device of some sort. They can block cool trade winds by generating hot zones and they can generate earthquakes in the crust of the earth and thereby can be aimed at volcanoes and fault lines. Try to move to places above 90-180m above sea level because Coastal tsunamis will be about 90m high and splash up to about double that height. Crazy post. Fin. Its funny when truth is seen as craziness because so many low IQ scrubs continue to eat shit and think its the best meal theyve ever had.	I personally think the pope didnt appreciate the trump women wearing black cause it wouldve been more appropriate for them to wear white if the genuinely appreciated religion and the Christian faith...	i feel bad for the pope. He had to hold his nose the entire time while meeting with Trump. He must have had the vatican fumigated after Trump left.	State x Religion = Ezekiel 23:5-7	Fuck CNN and fuck the pope.	null	Epic C- you are an a fucking idiot, you are an shit	I really like u dude! U should have ur own show like Watson ‰÷¼	I think Trump ordered this hit to distract us from the Trump-Russian probe!	i know im late but i though liberals hated guns	enjoy republicans, do you still feel you won the elections ?	Radicalized by the Counterfeit News Network.	Did nothing wrong. Jealousy is boring and ugly.	Im not saying anything bad about our governments safety but they shouldve had secret service there to protect these "sitting ducks." Im all for republicans but if u have that many government officials there without protection in an open area and dont have the secret service there to protect them. Thats just plain stupid. Im from La and Im glad that Steve is stable.	That intro is fire af!
